11:44 04/10/2023, Rank 1: 20, Rank 2: 20, Rank 3: 19, Rank 4: 20, Rank 5: 16, Rank 6: 15, Rank 7: 20, Rank 8: 19, Rank 9: 17
15:35 05/10/2023, Rank 1: 20, Rank 2: 20, Rank 3: 19, Rank 4: 19, Rank 5: 17, Rank 6: 14, Rank 7: 20, Rank 8: 17, Rank 9: 15
16:27 05/10/2023, Rank 1: 20, Rank 2: 20, Rank 3: 19, Rank 4: 19, Rank 5: 17, Rank 6: 14, Rank 7: 20, Rank 8: 17, Rank 9: 15
10:34 06/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 4, Rank 5: 2, Rank 6: 1, Rank 7: 19, Rank 8: 14, Rank 9: 13
13:38 10/10/2023, Rank 1: 0, Rank 2: 1, Rank 3: 0, Rank 4: 18, Rank 5: 4, Rank 6: 2, Rank 7: 20, Rank 8: 15, Rank 9: 17
13:21 11/10/2023, Rank 1: 1, Rank 2: 1, Rank 3: 0, Rank 4: 12, Rank 5: 0, Rank 6: 0, Rank 7: 20, Rank 8: 13, Rank 9: 16
14:47 12/10/2023, Rank 1: 0, Rank 2: 2, Rank 3: 0, Rank 4: 9, Rank 5: 0, Rank 6: 0, Rank 7: 20, Rank 8: 15, Rank 9: 16
07:39 13/10/2023, Rank 1: 0, Rank 2: 1, Rank 3: 0, Rank 4: 7, Rank 5: 4, Rank 6: 1, Rank 7: 20, Rank 8: 10, Rank 9: 16
07:36 14/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 6, Rank 5: 0, Rank 6: 1, Rank 7: 18, Rank 8: 16, Rank 9: 16
07:36 15/10/2023, Rank 1: 0, Rank 2: 1, Rank 3: 0, Rank 4: 4, Rank 5: 0, Rank 6: 0, Rank 7: 20, Rank 8: 14, Rank 9: 18
07:40 16/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 5, Rank 5: 1, Rank 6: 0, Rank 7: 17, Rank 8: 16, Rank 9: 15
07:39 17/10/2023, Rank 1: 0, Rank 2: 1, Rank 3: 0, Rank 4: 13, Rank 5: 1, Rank 6: 1, Rank 7: 19, Rank 8: 15, Rank 9: 17
07:39 18/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 9, Rank 5: 0, Rank 6: 0, Rank 7: 19, Rank 8: 16, Rank 9: 13
07:37 19/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 11, Rank 5: 3, Rank 6: 0, Rank 7: 20, Rank 8: 15, Rank 9: 10
07:38 20/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 10, Rank 5: 1, Rank 6: 1, Rank 7: 20, Rank 8: 14, Rank 9: 15
07:35 21/10/2023, Rank 1: 1, Rank 2: 2, Rank 3: 0, Rank 4: 3, Rank 5: 0, Rank 6: 0, Rank 7: 19, Rank 8: 15, Rank 9: 16
07:36 23/10/2023, Rank 1: 1, Rank 2: 1, Rank 3: 0, Rank 4: 10, Rank 5: 1, Rank 6: 2, Rank 7: 20, Rank 8: 16, Rank 9: 16
07:37 24/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 4, Rank 5: 0, Rank 6: 0, Rank 7: 19, Rank 8: 18, Rank 9: 17
07:36 25/10/2023, Rank 1: 0, Rank 2: 1, Rank 3: 0, Rank 4: 6, Rank 5: 0, Rank 6: 0, Rank 7: 18, Rank 8: 12, Rank 9: 14
07:37 26/10/2023, Rank 1: 0, Rank 2: 0, Rank 3: 0, Rank 4: 13, Rank 5: 0, Rank 6: 0, Rank 7: 20, Rank 8: 14, Rank 9: 17
07:36 27/10/2023, Rank 1: 0, Rank 2: 3, Rank 3: 1, Rank 4: 12, Rank 5: 0, Rank 6: 0, Rank 7: 18, Rank 8: 15, Rank 9: 15
